$A_1= \{CULagos\},TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,Visual,,,,,,TOUCH,,,,,,TOUCH,,,,,,TOUCH,,,,,,Hearing,,,,,,TOUCH,,,,,,Visual,,,,,,Hearing,,,,,,TOUCH,,,,,,Hearing,,,,,,,,Visual disability,,,Hearing disability,,,>,,,General UT Score,,,,
,$U_1^1$,,,,,,U_2,,,,,,U_3,,,,,,U_4,,,,,,U_5,,,,,,U_6,,,,,,U_7,,,,,,U_8,,,,,,U_9,,,,,,U_10,,,,,,U_11,,,,,,U_12,,,,,,U_13,,,,,,U_14,,,,,,U_15,,,,,,General,,,,,,,,,,,,,,,
,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,UT(q_v),Max time (s),Time,Efficiency,Success,Satisfaction,% Efficiency,% Success,% Efficiency,% Success,,% Efficiency,% Success,,% Efficiency,% Success,,,,,,
,1,5,6,0,1,3,1,5,5,1,1,3,1,5,4,1,1,3,1,5,5,1,1,3,1,5,7,0,1,4,1,5,6,0,1,2,1,5,4,1,1,3,1,5,6,0,1,3,1,5,5,1,1,4,1,5,4,1,1,4,1,5,4,1,1,3,1,5,5,1,1,3,1,5,4,1,1,4,1,5,4,1,1,4,1,5,4,1,1,4,73.33%,100.00%,66.67%,100.00%,"(satisfying,-0.3214)",80.00%,100.00%,"(very satisfying,-0.2174)",71.43%,100.00%,"(satisfying,0.2769)",3.189,satisfying,0.189,"(satisfying,0.1893)",
,2,20,18,1,1,3,2,20,17,1,1,3,2,20,19,1,1,4,2,20,16,1,1,4,2,20,19,1,1,4,2,20,29,0,1,3,2,20,15,1,1,3,2,20,22,0,1,3,2,20,17,1,1,4,2,20,19,1,1,4,2,20,15,1,1,3,2,20,16,1,1,3,2,20,14,1,1,4,2,20,20,1,1,4,2,20,20,1,1,3,86.67%,100.00%,66.67%,100.00%,"(satisfying,0.3571)",100.00%,100.00%,"(very satisfying,-0.413)",86.67%,100.00%,"(satisfying,0.4308)",3.448,satisfying,0.448,"(satisfying,0.4482)",
,3,10,11,0,1,3,3,10,8,1,1,3,3,10,10,0,1,4,3,10,11,0,1,4,3,10,14,0,1,4,3,10,13,0,1,3,3,10,8,1,1,4,3,10,13,0,1,3,3,10,7,1,1,4,3,10,13,0,1,4,3,10,9,1,1,3,3,10,7,1,1,3,3,10,9,1,1,4,3,10,12,0,1,4,3,10,10,1,1,4,46.67%,100.00%,33.33%,100.00%,"(satisfying,0.3571)",60.00%,100.00%,"(very satisfying,-0.2174)",46.67%,100.00%,"(very satisfying,-0.4308)",3.548,very satisfying,-0.452,"(very satisfying,-0.4516)",
,4,30,39,0,0,0,4,30,29,1,1,1,4,30,37,0,0,0,4,30,38,0,0,0,4,30,31,0,0,1,4,30,32,0,0,1,4,30,23,1,0,0,4,30,38,0,0,1,4,30,27,1,1,1,4,30,41,0,0,1,4,30,32,0,0,0,4,30,31,0,0,0,4,30,33,0,0,0,4,30,27,1,0,1,4,30,28,1,1,1,33.33%,20.00%,0.00%,0.00%,"(unsatisfying,0.3214)",40.00%,40.00%,"(a little satisfying,-0.1957)",33.33%,20.00%,"(unsatisfying,0.4154)",0.494,unsatisfying,0.494,"(unsatisfying,0.4945)",
,5,30,37,0,0,0,5,30,34,0,0,0,5,30,22,1,0,0,5,30,32,0,0,0,5,30,40,0,0,1,5,30,22,1,0,1,5,30,28,1,0,0,5,30,40,0,0,1,5,30,43,0,0,1,5,30,33,0,0,1,5,30,38,0,0,0,5,30,28,1,0,0,5,30,33,0,0,0,5,30,25,1,0,0,5,30,41,0,0,0,33.33%,0.00%,66.67%,0.00%,"(unsatisfying,0.3214)",0.00%,0.00%,"(unsatisfying,0.3913)",33.33%,0.00%,"(unsatisfying,0.2769)",0.329,unsatisfying,0.329,"(unsatisfying,0.329)",
,6,30,23,1,1,3,6,30,21,1,1,2,6,30,30,0,1,4,6,30,25,1,1,3,6,30,23,1,1,4,6,30,42,0,1,4,6,30,22,1,1,4,6,30,39,0,1,4,6,30,28,1,1,4,6,30,23,1,1,4,6,30,23,1,1,4,6,30,31,0,1,4,6,30,27,1,1,2,6,30,26,1,1,4,6,30,23,1,1,4,73.33%,100.00%,33.33%,100.00%,"(very satisfying,-0.3571)",100.00%,100.00%,"(satisfying,0.1739)",73.33%,100.00%,"(very satisfying,-0.1538)",3.563,very satisfying,-0.437,"(very satisfying,-0.4368)",
,7,120,99,1,1,3,7,120,112,1,1,4,7,120,167,0,1,4,7,120,112,1,1,3,7,120,130,0,1,4,7,120,135,0,1,3,7,120,117,1,1,4,7,120,160,0,1,4,7,120,108,1,1,4,7,120,123,0,1,4,7,120,153,0,1,2,7,120,89,1,1,2,7,120,118,1,1,3,7,120,157,0,1,4,7,120,167,0,1,3,46.67%,100.00%,66.67%,100.00%,"(satisfying,-0.3214)",40.00%,100.00%,"(very satisfying,-0.3913)",46.67%,100.00%,"(very satisfying,-0.4308)",3.225,satisfying,0.225,"(satisfying,0.2248)",
,8,30,39,0,1,3,8,30,26,1,1,3,8,30,21,1,1,4,8,30,36,0,1,3,8,30,25,1,1,4,8,30,39,0,1,3,8,30,25,1,1,3,8,30,38,0,1,3,8,30,28,1,1,2,8,30,29,1,1,4,8,30,28,1,1,2,8,30,30,1,1,2,8,30,31,0,1,3,8,30,31,0,1,3,8,30,42,0,1,4,53.33%,100.00%,33.33%,100.00%,"(satisfying,-0.3214)",60.00%,100.00%,"(very satisfying,-0.413)",53.33%,100.00%,"(satisfying,-0.1231)",3.011,satisfying,0.011,"(satisfying,0.0106)",
,9,120,167,0,1,3,9,120,108,1,1,0,9,120,137,0,1,3,9,120,131,0,1,3,9,120,97,1,1,3,9,120,161,0,1,3,9,120,120,1,1,3,9,120,104,1,1,3,9,120,120,1,1,2,9,120,120,1,1,3,9,120,117,1,1,1,9,120,100,1,1,3,9,120,93,1,1,3,9,120,100,1,1,4,9,120,87,1,1,4,73.33%,100.00%,33.33%,100.00%,"(satisfying,0)",100.00%,100.00%,"(satisfying,-0.4565)",73.33%,100.00%,"(satisfying,-0.2769)",2.780,satisfying,-0.220,"(satisfying,-0.22)",
,10,30,24,1,1,3,10,30,40,0,0,0,10,30,33,0,1,3,10,30,34,0,0,0,10,30,27,1,1,4,10,30,40,0,1,3,10,30,30,1,1,3,10,30,30,1,1,3,10,30,27,1,1,4,10,30,21,1,1,3,10,30,27,1,1,2,10,30,26,1,1,3,10,30,23,1,1,3,10,30,28,1,1,4,10,30,25,1,1,3,73.33%,86.67%,33.33%,66.67%,"(indifferent,-0.0714)",80.00%,80.00%,"(satisfying,-0.4565)",73.33%,86.67%,"(satisfying,0.1385)",2.476,indifferent,0.476,"(indifferent,0.476)",
,11,45,59,0,0,0,11,45,56,0,0,0,11,45,34,1,1,3,11,45,58,0,0,0,11,45,50,0,0,1,11,45,49,0,0,0,11,45,45,1,0,0,11,45,33,1,1,3,11,45,37,1,1,4,11,45,61,0,0,1,11,45,50,0,0,0,11,45,39,1,1,3,11,45,54,0,0,0,11,45,33,1,1,2,11,45,38,1,1,2,46.67%,40.00%,33.33%,33.33%,"(a little satisfying,-0.0357)",20.00%,20.00%,"(a little satisfying,-0.2174)",46.67%,40.00%,"(indifferent,-0.2923)",1.133,a little satisfying,0.133,"(a little satisfying,0.1328)",
,12,30,28,1,1,3,12,30,23,1,1,1,12,30,38,0,1,2,12,30,30,0,1,2,12,30,22,1,1,4,12,30,28,1,1,2,12,30,25,1,1,2,12,30,25,1,1,3,12,30,21,1,1,4,12,30,29,1,1,3,12,30,21,1,1,2,12,30,24,1,1,3,12,30,24,1,1,3,12,30,29,1,1,4,12,30,28,1,1,3,86.67%,100.00%,66.67%,100.00%,"(indifferent,0.3214)",100.00%,100.00%,"(satisfying,-0.2391)",86.67%,100.00%,"(satisfying,-0.1538)",2.611,satisfying,-0.389,"(satisfying,-0.3893)",
,13,120,157,0,1,3,13,120,158,0,1,0,13,120,102,1,1,3,13,120,113,1,1,2,13,120,158,0,0,1,13,120,156,0,1,3,13,120,93,1,1,3,13,120,94,1,1,3,13,120,119,1,1,4,13,120,101,1,1,4,13,120,86,1,1,1,13,120,111,1,1,3,13,120,108,1,1,3,13,120,88,1,1,4,13,120,120,1,1,4,73.33%,93.33%,66.67%,100.00%,"(satisfying,-0.3571)",60.00%,80.00%,"(indifferent,0.3478)",73.33%,93.33%,"(satisfying,0)",2.661,satisfying,-0.339,"(satisfying,-0.3385)",
